name,s,f,w,tautorsion,shift,hiddentau,notes,h0info,h0ext,h1info,h1target,h2info,h2target,h3info,h3target,label,angle,Dr inf000,dr,XX
1,0,0,0,0,0,,,,h0,,h1,,h2,,h3,,,,,XX
h0,0,1,0,0,0,,,,h0^2,,,,h0 h2,,h0 h3,h_0,210,,,gen
h0^2,0,2,0,0,0,,,,h0^3,,,t,h1^3,,,,,,,XX
h0^3,0,3,0,0,0,,,,loc,,,,,,,,,,,XX
h1,1,1,1,0,0,,,,,,h1^2,,,,h1 h3,auto,-60,,,gen
h1^2,2,2,2,0,0,,,,,,h1^3,,,,h1^2 h3,,,,,XX
h2,3,1,2,0,0,,,,h0 h2,,,,h2^2,,,auto,-60,,,gen
h0 h2,3,2,2,0,0,,,t,h1^3,,,,,,,,,,,XX
h1^3,3,3,3,0,0,,,,,,h1^4,,,,,,,,,XX
h1^4,4,4,4,1,0,,,,,,loc,,,,,,,,,XX
h2^2,6,2,4,0,0,,,,,,,,h1^2 h3,,,,,,,XX
h3,7,1,4,0,0,,,,h0 h3,,h1 h3,,,,h3^2,h_3,,,,gen
h0 h3,7,2,4,0,0,,,,h0^2 h3,,,,,,h0 h3^2,,,,,XX
h0^2 h3,7,3,4,0,0,,,,h0^3 h3,,,,,,,,,,,XX
h0^3 h3,7,4,4,0,0,,,,,,,,,,,,,,,XX
h1 h3,8,2,5,0,0,,,,,,h1^2 h3,,,,,,,,,XX
c0,8,3,5,0,0,,,,,,h1 c0,,,,,auto,210,,,gen
h1^2 h3,9,3,6,0,0,,,,,,,,,,,,,,,XX
h1 c0,9,4,6,0,0,,,,,,loc,,,,,,,,,XX
P h1,9,5,5,0,0,,,,,,P h1^2,,,,,auto,,,,gen
P h1^2,10,6,6,0,0,,,,,,P h1^3,,,,,,,,,XX
P h2,11,5,6,0,0,,,,P h0 h2,,,,h0^2 d0,,,auto,,,,gen
P h0 h2,11,6,6,0,0,,,t,P h1^3,,,,,,,,,,,XX
P h1^3,11,7,7,0,0,,,,,,loc,,,,,,,,,XX
h3^2,14,2,8,0,0,,,,h0 h3^2,,,,,,h2^2 h4,h_3^2,,,,XX
h0 h3^2,14,3,8,0,0,,,,,,,,,,,,,,,XX
d0,14,4,8,0,0,,,,h0 d0,,h1 d0,,h0 e0,,,d_0,,,,gen
h0 d0,14,5,8,0,0,,,,h0^2 d0,,,,h0^2 e0,,,,,,,XX
h0^2 d0,14,6,8,0,0,,,,,,,t,h1^3 d0,,,,,,,XX
h4,15,1,8,0,0,,,,h0 h4,,h1 h4,,h2 h4,,,h_4,,,h0 h3^2,gen
h0 h4,15,2,8,0,0,,,,h0^2 h4,,,,h0 h2 h4,,,,,,,XX
h0^2 h4,15,3,8,0,0,,,,h0^3 h4,,,t,h1^3 h4,,,,,,,XX
h0^3 h4,15,4,8,0,0,,,,h0^4 h4,,,,,,,,,,,XX
h1 d0,15,5,9,0,-1,,,,,,h1^2 d0,,,,,,,,,XX
h0^4 h4,15,5,8,0,1,,,,h0^5 h4,,,,,,,,,,,XX
h0^5 h4,15,6,8,0,0,,,,h0^6 h4,,,,,,,,,,,XX
h0^6 h4,15,7,8,0,0,,,,h0^7 h4,,,,,,,,,,,XX
h0^7 h4,15,8,8,0,0,,,,,,,,,,,,,,,XX
h1 h4,16,2,9,0,0,,,,,,h1^2 h4,,,,,,,,,XX
h1^2 d0,16,6,10,0,0,,,,,,h1^3 d0,,,,,,,,,XX
P c0,16,7,9,0,0,,,,,,P h1 c0,,,,,auto,,,,gen
h1^2 h4,17,3,10,0,0,,,,,,h1^3 h4,,,,,,,,,XX
e0,17,4,10,0,0,,,,h0 e0,,h1 e0,,h2 e0,,h1 h4 c0,e_0,,,h1^2 d0,gen
h0 e0,17,5,10,0,0,,,,h0^2 e0,,,,h0 h2 e0,,,,,,,XX
h0^2 e0,17,6,10,0,0,,,t,h1^3 d0,,,,,,,,,,,XX
h1^3 d0,17,7,11,0,0,,,,,,loc,,,,,,,,,XX
P h1 c0,17,8,10,0,0,,,,,,loc,,,,,,,,,XX
P^2 h1,17,9,9,0,0,,,,,,P^2 h1^2,,,,,auto,,,,gen
h2 h4,18,2,10,0,0,,,,h0 h2 h4,,,,h2^2 h4,,,,,,,XX
h0 h2 h4,18,3,10,0,0,,,t,h1^3 h4,,,,,,,,,,,XX
h1^3 h4,18,4,11,0,-1,,,,,,,,,,,,,,,XX
f0,18,4,10,0,1,,,t,h1 e0,,,,t h1 g,,,f_0,,,h0^2 e0,gen
h1 e0,18,5,11,0,0,,,,,,loc,,,,h1^2 h4 c0,,,,h1^3 d0,XX
P^2 h1^2,18,10,10,0,0,,,,,,P^2 h1^3,,,,,,,,,XX
c1,19,3,11,0,0,,,,,,,,h2 c1,,,c_1,,,,gen
P^2 h2,19,9,10,0,0,,,,P^2 h0 h2,,,,P h0^2 d0,,,auto,,,,gen
P^2 h0 h2,19,10,10,0,0,,,t,P^2 h1^3,,,,,,,,,,,XX
P^2 h1^3,19,11,11,0,0,,,,,,loc,,,,,,,,,XX
t g,20,4,11,0,0,,,t,h2 e0,,t h1 g,t,h2 g,,,\tau g,,,,gen
h2 e0,20,5,12,0,0,,,,h0 h2 e0,,,,h0 h2 g,,,,,,,XX
h0 h2 e0,20,6,12,0,0,,,,,,,,,,,,,,,XX
h2^2 h4,21,3,12,0,0,,,,,,,,,,,,,,,XX
t h1 g,21,5,12,0,0,,,,,,,,,,,,,,,XX
h2 c1,22,4,13,0,0,,,,,,,,,,,,,,,XX
c0 d0,22,7,13,1,0,,,,,,loc,,,,,c_0 d_0,,,,XX
P d0,22,8,12,0,0,,,,P h0 d0,,P h1 d0,,P h0 e0,,,P d_0,,,,gen
P h0 d0,22,9,12,0,0,,,,P h0^2 d0,,,,P h0^2 e0,,,,,,,XX
P h0^2 d0,22,10,12,0,0,,,,,,,t,P h1^3 d0,,,,,,,XX
h4 c0,23,4,13,0,0,,,,,,h1 h4 c0,,,,,h_4 c_0,,,,XX
h2 g,23,5,14,0,0,,,,h0 h2 g,,,,h2^2 g,,,h_2 g,,,,gen
h0 h2 g,23,6,14,0,0,,,,,,,h,h1^3 h4 c0,,,,,,,XX
i,23,7,12,0,0,,,,h0 i,,,,h0 j,,,i,,,P h0 d0,gen
h0 i,23,8,12,0,0,,,,h0^2 i,,,t,P h1 e0,,,,,,P h0^2 d0,XX
P h1 d0,23,9,13,0,-1,,,,,,P h1^2 d0,,,,,,,,,XX
h0^2 i,23,9,12,0,1,,,,h0^3 i,,,,,,,,,,,XX
h0^3 i,23,10,12,0,0,,,,h0^4 i,,,,,,,,,,,XX
h0^4 i,23,11,12,0,0,,,,h0^5 i,,,,,,,,,,,XX
h0^5 i,23,12,12,0,0,,,,,,,,,,,,,,,XX
h1 h4 c0,24,5,14,0,0,,,,,,h1^2 h4 c0,,,,,,,,,XX
P h1^2 d0,24,10,14,0,0,,,,,,P h1^3 d0,,,,,,,,,XX
P^2 c0,24,11,13,0,0,,,,,,P^2 h1 c0,,,,,auto,,,,gen
h1^2 h4 c0,25,6,15,1,0,,,,,,h1^3 h4 c0,,,,,,,,,XX
c0 e0,25,7,15,1,0,,,,,,loc,,,,,c_0 e_0,,free,,XX
P e0,25,8,14,0,0,,,,P h0 e0,,P h1 e0,,h0 d0^2,,,P e_0,,,P h1^2 d0,gen
P h0 e0,25,9,14,0,0,,,,P h0^2 e0,,,,h0^2 d0^2,,,,,,,XX
P h0^2 e0,25,10,14,0,0,,,t,P h1^3 d0,,,,,,,,,,,XX
P h1^3 d0,25,11,15,0,0,,,,,,loc,,,,,,,,,XX
P^2 h1 c0,25,12,14,0,0,,,,,,loc,,,,,,,,,XX
P^3 h1,25,13,13,0,0,,,,,,P^3 h1^2,,,,,auto,,,,gen
h2^2 g,26,6,16,0,0,,,h,h1^3 h4 c0,,,,h1^2 h3 g,,,,,,,XX
h1^3 h4 c0,26,7,16,1,-1,,,,,,,,,,,,,,,XX
j,26,7,14,0,1,,,,h0 j,,,,h0 k,,,j,,,P h0 e0,gen
h0 j,26,8,14,0,0,,,t,P h1 e0,,,t,h1 d0^2,,,,,,P h0^2 e0,XX
P h1 e0,26,9,15,0,0,,,,,,loc,,,,,,,,P h1^3 d0,XX
P^3 h1^2,26,14,14,0,0,,,,,,P^3 h1^3,,,,,,,,,XX
h3 g,27,5,16,1,0,,,,,,h1 h3 g,,,,h1^2 d1,h_3 g,,,h1^3 h4 c0,gen
P^3 h2,27,13,14,0,0,,,,P^3 h0 h2,,,,P^2 h0^2 d0,,,auto,,,,gen
P^3 h0 h2,27,14,14,0,0,,,t,P^3 h1^3,,,,,,,,,,,XX
P^3 h1^3,27,15,15,0,0,,,,,,loc,,,,,,,,,XX
h1 h3 g,28,6,17,1,0,,,,,,h1^2 h3 g,,,,,,,,,XX
d0^2,28,8,16,0,0,,,,h0 d0^2,,h1 d0^2,,h0 d0 e0,,,d_0^2,,,,XX
h0 d0^2,28,9,16,0,0,,,,h0^2 d0^2,,,,h0^2 d0 e0,,,,,,,XX
h0^2 d0^2,28,10,16,0,0,,,,,,,,,,,,,,,XX
